,Designation,Discovery Date,Magnitude,MOID,Perihelion,Aphelion,Orbital Period,Inclination,PHA,Orbit Class
0,419880 (2011 AH37),2011-01-07,19.7,0.035,0.84,4.26,4.06,9.65,Y,Apollo
1,419624 (2010 SO16),2010-09-17,20.5,0.028,0.93,1.08,1.0,14.52,Y,Apollo
2,414772 (2010 OC103),2010-07-28,19.0,0.333,0.39,2.0,1.31,23.11,N,Apollo
3,414746 (2010 EH20),2010-03-06,18.0,0.268,1.25,3.99,4.24,23.89,N,Amor
4,407324 (2010 OB101),2010-07-18,20.7,0.111,0.77,2.46,2.06,9.12,N,Apollo
5,398188 (2010 LE15),2010-06-03,19.5,0.024,0.63,1.1,0.8,13.25,Y,Aten
6,395207 (2010 HQ80),2010-04-25,19.6,0.007,0.8,2.34,1.96,27.85,Y,Apollo
7,386847 (2010 LR33),2010-06-06,18.0,0.029,0.91,2.48,2.2,5.84,Y,Apollo
8,381989 (2010 HR80),2010-04-28,19.9,0.104,0.68,2.02,1.56,26.71,N,Apollo
9,369454 (2010 NZ1),2010-07-09,19.4,0.275,0.49,2.26,1.61,32.78,N,Apollo
10,365449 (2010 NJ1),2010-07-03,20.3,0.155,0.44,1.49,0.95,11.23,N,Aten
11,365424 (2010 KX7),2010-05-16,21.9,0.034,0.82,1.16,0.98,21.49,Y,Aten
12,356394 (2010 QD2),2010-08-21,17.4,0.061,0.43,3.59,2.85,10.64,N,Apollo
13,(2015 HF11),2015-04-17,19.2,0.225,1.22,2.93,2.99,34.89,N,Amor
14,(2015 GK50),2015-04-05,20.5,0.237,1.03,5.12,5.39,19.07,N,Amor
15,(2015 GJ46),2015-04-11,19.3,0.238,0.67,5.06,4.85,18.22,N,Apollo
16,(2015 FT344),2015-03-23,20.5,0.203,1.09,4.01,4.07,12.55,N,Amor
17,(2015 FD341),2015-03-27,18.0,0.124,0.31,1.6,0.93,20.55,N,Aten
18,(2015 FU332),2015-03-31,17.3,0.269,0.67,4.59,4.27,36.11,N,Apollo
19,(2015 FE120),2015-03-23,21.1,0.013,1.01,3.49,3.38,22.8,Y,Apollo
20,(2015 FY117),2015-03-20,21.2,0.15,1.14,2.9,2.87,24.33,N,Amor
21,(2015 DX198),2015-02-17,22.1,0.074,1.02,2.25,2.1,11.05,N,Amor
